
cc@llk-adnn:~/Depth-nested_Cifar/logs$ cat accuracy_file.txt
[0.9238 0.924  0.9266 0.9282]	2021-07-26 03:06:02.028591
[0.9232 0.923  0.9236 0.9266]	2021-07-26 03:41:49.483844
[0.9216 0.9232 0.9244 0.9276]	2021-07-26 04:17:35.537789
[0.9236 0.9238 0.9252 0.9256]	2021-07-26 04:53:20.740170
[0.9232 0.924  0.9246 0.9252]	2021-07-26 05:29:06.801181
[0.9208 0.9198 0.922  0.9236]	2021-07-26 06:04:52.836118
[0.923  0.9228 0.9238 0.925 ]	2021-07-26 06:40:40.053893
[0.9208 0.922  0.9244 0.927 ]	2021-07-26 07:16:30.913862
[0.9244 0.9254 0.9258 0.9266]	2021-07-26 07:52:17.382244
[0.9232 0.9224 0.9238 0.9252]	2021-07-26 08:28:06.498579
[0.9246 0.9234 0.9262 0.9286]	2021-07-26 09:03:53.592242
[0.921  0.9236 0.9236 0.9252]	2021-07-26 09:39:41.225958
[0.9242 0.927  0.928  0.929 ]	2021-07-26 10:15:34.747687
[0.923  0.9232 0.925  0.9278]	2021-07-26 10:51:23.321227
[0.9234 0.9222 0.923  0.925 ]	2021-07-26 11:27:11.473530
[0.9236 0.922  0.9236 0.9266]	2021-07-26 12:02:58.465412
[0.9228 0.9228 0.9244 0.9256]	2021-07-26 12:38:44.791161
[0.9244 0.923  0.925  0.927 ]	2021-07-26 13:14:30.334027
[0.9246 0.9242 0.9256 0.9272]	2021-07-26 13:50:15.268173
[0.923  0.9226 0.9244 0.926 ]	2021-07-26 14:26:00.768355
[0.922  0.9208 0.923  0.925 ]	2021-07-26 15:01:47.873295
